year_film,film,award_year,imdb_rating,rt_rating,rt_audience_score,rt_status,runtime_mins,content_rating,bafta_nom,bafta_win,sag_nom,sag_win,gg_nom,gg_win,oscar_winner,Oscarstat_totalnoms,Nom_DGA,Win_DGA,Genre_action,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_war,Genre_filmnoir,Genre_thriller,Genre_adventure,Genre_family,Genre_sport,Genre_western
1959,The Nun's Story,1960,7.5,94.0,82.0,fresh,149,NR,1,0,DE,DE,1,0,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,Anatomy of a Murder,1960,8.0,100.0,90.0,certified-fresh,161,G,1,0,DE,DE,1,0,0,7,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1959,Ben-Hur,1960,8.1,86.0,89.0,certified-fresh,212,G,1,1,DE,DE,1,1,1,12,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1959,The Diary of Anne Frank,1960,7.4,79.0,77.0,fresh,180,PG,0,0,DE,DE,1,0,0,8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1959,Room at the Top,1960,7.5,100.0,82.0,fresh,115,NR,1,1,DE,DE,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1960,Elmer Gantry,1961,7.7,94.0,86.0,fresh,146,PG,1,0,DE,DE,1,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,The Apartment,1961,8.3,93.0,94.0,certified-fresh,125,NR,1,1,DE,DE,1,1,1,10,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1960,Sons and Lovers,1961,7.1,67.0,50.0,fresh,103,NR,0,0,DE,DE,1,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,The Alamo,1961,6.8,52.0,63.0,rotten,162,NR,0,0,DE,DE,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1960,The Sundowners,1961,7.1,75.0,62.0,fresh,133,NR,1,0,DE,DE,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1961,Fanny,1962,6.8,80.0,67.0,fresh,134,NR,0,0,DE,DE,1,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1961,Judgment at Nuremberg,1962,8.3,91.0,93.0,fresh,179,PG-13,1,0,DE,DE,1,0,0,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1961,The Hustler,1962,8.0,98.0,93.0,certified-fresh,134,NR,1,1,DE,DE,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1961,West Side Story,1962,7.6,92.0,84.0,certified-fresh,153,PG,1,0,DE,DE,1,1,1,11,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,The Guns of Navarone,1962,7.5,92.0,86.0,fresh,158,PG,0,0,DE,DE,1,1,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1962,Meredith Willson's The Music Man,1963,7.8,94.0,85.0,fresh,151,G,0,0,DE,DE,1,1,0,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1962,The Longest Day,1963,7.7,87.0,90.0,fresh,178,G,0,0,DE,DE,1,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1962,Mutiny on the Bounty,1963,7.2,68.0,73.0,fresh,178,NR,0,0,DE,DE,1,0,0,14,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1962,To Kill a Mockingbird,1963,8.3,92.0,92.0,certified-fresh,129,NR,1,0,DE,DE,1,0,0,8,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,Lawrence of Arabia,1963,8.3,98.0,93.0,certified-fresh,218,PG,1,1,DE,DE,1,1,1,10,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1963,Lilies of the Field,1964,7.5,91.0,86.0,fresh,94,NR,0,0,DE,DE,1,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,How the West Was Won,1964,7.1,86.0,74.0,fresh,164.0,G,0,0,DE,DE,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1963,America America,1964,7.7,67.0,85.0,fresh,174,NR,0,0,DE,DE,1,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,Cleopatra,1964,7.0,62.0,69.0,fresh,192,G,0,0,DE,DE,1,0,0,14,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1963,Tom Jones,1964,6.4,82.0,58.0,fresh,129,NR,1,1,DE,DE,1,1,1,10,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1964,Becket,1965,7.8,76.0,87.0,fresh,148,PG-13,1,0,DE,DE,1,1,0,12,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1964,Mary Poppins,1965,7.8,100.0,86.0,certified-fresh,139,G,0,0,DE,DE,1,0,0,12,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1965,8.4,98.0,94.0,certified-fresh,95,PG,1,1,DE,DE,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1964,Zorba the Greek,1965,7.6,80.0,86.0,fresh,142,NR,1,0,DE,DE,1,0,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,My Fair Lady,1965,7.8,95.0,90.0,certified-fresh,170,G,1,1,DE,DE,1,1,1,12,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1965,A Thousand Clowns,1966,7.3,72.0,88.0,fresh,118,NR,0,0,DE,DE,1,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1965,The Sound of Music,1966,8.1,83.0,91.0,certified-fresh,172,G,0,0,DE,DE,1,1,1,10,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1965,Darling,1966,7.0,67.0,71.0,fresh,128,NR,0,0,DE,DE,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1965,Doctor Zhivago,1966,7.9,84.0,88.0,certified-fresh,197,PG-13,1,0,DE,DE,1,1,0,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1965,Ship of Fools,1966,7.0,72.0,78.0,fresh,149,NR,0,0,DE,DE,1,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1966,The Sand Pebbles,1967,7.6,89.0,88.0,fresh,182,PG-13,0,0,DE,DE,1,0,0,8,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1966,Alfie,1967,7.0,96.0,76.0,fresh,114,PG,0,0,DE,DE,0,0,0,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,Who's Afraid of Virginia Woolf?,1967,8.0,95.0,91.0,certified-fresh,131,R,1,1,DE,DE,1,0,0,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,A Man for All Seasons,1967,7.7,83.0,87.0,certified-fresh,120,G,0,0,DE,DE,1,1,1,8,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1966,The Russians Are Coming The Russians Are Coming,1967,7.0,86.0,75.0,fresh,126,G,0,0,DE,DE,1,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1967,In the Heat of the Night,1968,7.9,95.0,92.0,certified-fresh,110,G,1,0,DE,DE,1,1,1,7,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1967,Bonnie and Clyde,1968,7.7,88.0,88.0,certified-fresh,111,R,1,0,DE,DE,1,0,0,10,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,Guess Who's Coming to Dinner,1968,7.8,70.0,85.0,fresh,108,NR,0,0,DE,DE,1,0,0,10,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,The Graduate,1968,8.0,87.0,90.0,certified-fresh,106,PG,1,1,DE,DE,1,1,0,7,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,Doctor Dolittle,1968,6.1,29.0,57.0,rotten,152,G,0,0,DE,DE,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1968,Oliver!,1969,7.4,82.0,81.0,fresh,153,G,1,0,DE,DE,1,1,1,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1968,Romeo and Juliet,1969,7.6,95.0,74.0,fresh,138,PG,0,0,DE,DE,0,0,0,8,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
